Student_ID,Gender,Academic_Year,Q1_interruptions,Q2_short_sessions_pct,Q3_task_switching,Q4_duration_variability,Q5_daily_sessions,Q6_focus_difficulty,Q7_pause_freq,Q8_replay_freq,Q9_content_replayed_pct,Q10_replay_time_ratio,Q11_replay_reliance,Learning_Effectiveness,Course_Satisfaction,Self_Reported_Performance,N_Q1_interruptions,N_Q2_short_sessions_pct,N_Q3_task_switching,N_Q4_duration_variability,N_Q5_daily_sessions,N_Q6_focus_difficulty,P_Q7_pause_freq,P_Q8_replay_freq,P_Q9_content_replayed_pct,P_Q10_replay_time_ratio,P_Q11_replay_reliance,LFI,RDP,Risk_Category
1,Male,3,7.15,30.74,8.99,2.73,1.62,6.72,9.1,0.65,77.44,1.73,3.23,3.54,6.55,8.78,0.8753315649867375,0.3747048406139315,0.9481302774427022,0.5478841870824053,0.0933786078098472,0.6191780821917808,0.7144144144144144,0.0,0.9904013961605586,0.7105263157894736,0.22602739726027393,0.5764345933545675,0.5282739047249441,Low Risk
2,Female,4,5.3,49.26,9.11,3.49,6.42,7.22,3.45,2.92,21.41,0.45,6.54,6.92,8.43,9.21,0.629973474801061,0.6480224321133411,0.962605548854041,0.7171492204899778,0.9083191850594228,0.6876712328767123,0.20540540540540544,0.312242090784044,0.17553810354857477,0.14912280701754385,0.6794520547945205,0.7589568490324261,0.30435209231001775,Moderate Risk
3,Male,1,3.05,49.35,8.78,3.24,4.03,5.41,2.57,2.09,12.92,1.43,1.65,4.59,4.89,8.6,0.33156498673740054,0.6493506493506493,0.9227985524728589,0.6614699331848553,0.5025466893039049,0.4397260273972603,0.12612612612612611,0.19807427785419532,0.052065154159395007,0.5789473684210525,0.009589041095890389,0.5845761397411549,0.19296039353133188,Low Risk
4,Male,4,0.99,42.5,4.15,1.49,5.96,6.71,1.17,2.96,62.84,1.5,2.28,5.53,7.19,8.26,0.05835543766578249,0.5482585596221959,0.3642943305186973,0.2717149220489978,0.830220713073005,0.6178082191780822,0.0,0.3177441540577717,0.7780686445607913,0.6096491228070174,0.09589041095890406,0.4484420303511268,0.36027046647689687,Low Risk
5,Male,3,2.89,11.32,1.13,4.59,2.92,6.38,5.03,1.4,50.51,1.08,7.5,4.88,9.14,7.26,0.31034482758620685,0.08810507674144039,0.0,0.9621380846325167,0.3140916808149406,0.5726027397260274,0.3477477477477478,0.10316368638239339,0.5987492728330426,0.42543859649122806,0.8109589041095889,0.37454706825018863,0.45721164151280014,Low Risk
6,Female,3,3.0,63.47,8.89,3.59,6.37,8.76,7.78,7.18,70.3,1.79,2.84,5.31,7.12,6.58,0.3249336870026525,0.857733175914994,0.9360675512665865,0.7394209354120267,0.8998302207130731,0.8986301369863013,0.5954954954954955,0.8982118294360385,0.8865619546247818,0.7368421052631577,0.17260273972602735,0.7761026178826057,0.6579428249091002,High Risk
7,Male,2,6.12,27.45,4.64,2.75,3.34,2.34,5.51,4.95,18.34,2.25,6.4,7.67,4.25,3.57,0.7387267904509284,0.32615112160566706,0.4234016887816647,0.5523385300668151,0.3853989813242784,0.019178082191780778,0.390990990990991,0.5914718019257221,0.13089005235602097,0.9385964912280701,0.6602739726027397,0.4075325324035224,0.5424446618207088,Low Risk
8,Male,1,5.41,18.06,9.22,3.01,1.07,4.11,6.03,5.59,66.85,2.23,3.29,4.93,2.68,5.65,0.6445623342175066,0.1875737898465171,0.9758745476477685,0.6102449888641425,0.0,0.2616438356164384,0.43783783783783786,0.6795048143053645,0.8363874345549738,0.9298245614035087,0.23424657534246573,0.4466499160320622,0.6235602446888302,Moderate Risk
9,Male,4,7.33,7.85,9.19,2.13,6.43,9.13,11.4,6.42,22.92,1.14,2.25,6.68,9.03,5.42,0.8992042440318303,0.03689492325855962,0.9722557297949336,0.4142538975501113,0.9100169779286926,0.9493150684931508,0.9216216216216216,0.7936726272352131,0.197498545666085,0.45175438596491213,0.0917808219178082,0.696990140176213,0.49126560048112794,Moderate Risk
10,Female,2,4.14,46.36,8.25,1.34,1.55,8.68,5.0,4.24,20.11,0.36,3.32,6.09,2.66,4.69,0.4761273209549071,0.605224321133412,0.8588661037394452,0.2383073496659243,0.08149405772495756,0.8876712328767122,0.3450450450450451,0.49381017881705647,0.15663176265270506,0.10964912280701754,0.23835616438356158,0.5246150643492263,0.2686984547410772,Low Risk
11,Male,4,1.42,52.43,3.5,1.84,2.92,5.42,6.91,1.15,20.16,2.37,6.92,7.31,9.06,7.7,0.11538461538461536,0.6948051948051948,0.2858866103739445,0.34966592427616927,0.3140916808149406,0.44109589041095887,0.5171171171171172,0.06877579092159558,0.15735892961023853,0.9912280701754386,0.7315068493150684,0.3668216526776373,0.4931973514278917,Low Risk
12,Male,4,5.99,6.16,4.27,3.69,6.7,6.65,10.01,4.53,68.28,2.03,7.92,9.09,6.47,6.22,0.7214854111405836,0.011953955135773324,0.37876960193003617,0.7616926503340756,0.9558573853989814,0.6095890410958904,0.7963963963963964,0.533700137551582,0.8571844095404305,0.8421052631578945,0.8684931506849314,0.5732246741725567,0.7795758714662469,Moderate Risk
13,Male,2,6.36,40.85,8.23,0.27,6.7,4.08,5.56,4.9,57.22,0.39,7.73,7.76,9.54,3.53,0.7705570291777188,0.5239079102715466,0.8564535585042221,0.0,0.9558573853989814,0.25753424657534246,0.39549549549549545,0.5845942228335627,0.6963350785340314,0.12280701754385964,0.8424657534246575,0.5607183549879686,0.5283395135663214,Low Risk
14,Male,2,4.82,20.85,3.69,0.73,4.44,3.41,8.15,6.09,46.71,2.22,4.48,4.4,8.49,4.43,0.5663129973474802,0.22874852420306965,0.30880579010856457,0.10244988864142537,0.5721561969439729,0.16575342465753426,0.6288288288288288,0.74828060522696,0.5434845840605004,0.9254385964912281,0.3972602739726028,0.3240378036503412,0.648658577716024,Moderate Risk
15,Female,2,6.44,50.16,2.44,0.41,4.79,5.48,10.92,3.74,34.55,2.1,6.51,3.2,9.98,7.44,0.7811671087533157,0.6613046044864226,0.15802171290711703,0.031180400890868588,0.631578947368421,0.4493150684931507,0.8783783783783784,0.4250343878954609,0.3666375799883653,0.8728070175438596,0.6753424657534246,0.45209464048321596,0.6436399659118978,Moderate Risk
16,Male,2,4.3,17.21,5.73,0.39,3.69,4.65,11.92,1.46,72.91,1.29,3.04,4.7,5.13,3.49,0.4973474801061008,0.17502951593860686,0.554885404101327,0.026726057906458794,0.4448217317487267,0.3356164383561644,0.9684684684684685,0.11141678129298486,0.9245200698080279,0.5175438596491228,0.19999999999999998,0.3390711046928974,0.5443898358437209,Low Risk
