Student_ID,Gender,Academic_Year,Q1_interruptions,Q2_short_sessions_pct,Q3_task_switching,Q4_duration_variability,Q5_daily_sessions,Q6_focus_difficulty,Q7_pause_freq,Q8_replay_freq,Q9_content_replayed_pct,Q10_replay_time_ratio,Q11_replay_reliance,Learning_Effectiveness,Course_Satisfaction,Self_Reported_Performance
1,Male,3,7.15,30.74,8.99,2.73,1.62,6.72,9.1,0.65,77.44,1.73,3.23,3.54,6.55,8.78
2,Female,4,5.3,49.26,9.11,3.49,6.42,7.22,3.45,2.92,21.41,0.45,6.54,6.92,8.43,9.21
3,Male,1,3.05,49.35,8.78,3.24,4.03,5.41,2.57,2.09,12.92,1.43,1.65,4.59,4.89,8.6
4,Male,4,0.99,42.5,4.15,1.49,5.96,6.71,1.17,2.96,62.84,1.5,2.28,5.53,7.19,8.26
5,Male,3,2.89,11.32,1.13,4.59,2.92,6.38,5.03,1.4,50.51,1.08,7.5,4.88,9.14,7.26
6,Female,3,3.0,63.47,8.89,3.59,6.37,8.76,7.78,7.18,70.3,1.79,2.84,5.31,7.12,6.58
7,Male,2,6.12,27.45,4.64,2.75,3.34,2.34,5.51,4.95,18.34,2.25,6.4,7.67,4.25,3.57
8,Male,1,5.41,18.06,9.22,3.01,1.07,4.11,6.03,5.59,66.85,2.23,3.29,4.93,2.68,5.65
9,Male,4,7.33,7.85,9.19,2.13,6.43,9.13,11.4,6.42,22.92,1.14,2.25,6.68,9.03,5.42
10,Female,2,4.14,46.36,8.25,1.34,1.55,8.68,5.0,4.24,20.11,0.36,3.32,6.09,2.66,4.69
11,Male,4,1.42,52.43,3.5,1.84,2.92,5.42,6.91,1.15,20.16,2.37,6.92,7.31,9.06,7.7
12,Male,4,5.99,6.16,4.27,3.69,6.7,6.65,10.01,4.53,68.28,2.03,7.92,9.09,6.47,6.22
13,Male,2,6.36,40.85,8.23,0.27,6.7,4.08,5.56,4.9,57.22,0.39,7.73,7.76,9.54,3.53
14,Male,2,4.82,20.85,3.69,0.73,4.44,3.41,8.15,6.09,46.71,2.22,4.48,4.4,8.49,4.43
15,Female,2,6.44,50.16,2.44,0.41,4.79,5.48,10.92,3.74,34.55,2.1,6.51,3.2,9.98,7.44
16,Male,2,4.3,17.21,5.73,0.39,3.69,4.65,11.92,1.46,72.91,1.29,3.04,4.7,5.13,3.49
17,Female,2,4.53,53.37,8.96,4.14,2.76,6.38,2.69,2.63,37.04,1.46,3.7,6.87,8.25,8.53
18,Female,4,3.79,32.07,6.92,3.44,2.97,2.58,11.66,3.22,68.43,1.02,8.22,3.33,5.51,6.22
19,Female,2,0.7,70.57,5.85,2.38,5.04,9.31,6.66,5.34,40.5,0.23,1.6,6.23,6.1,6.12
20,Male,1,1.33,14.63,1.83,0.65,5.51,9.4,3.97,4.78,35.89,0.87,2.14,6.88,7.21,6.85
21,Female,3,0.74,28.87,6.23,2.46,5.75,7.24,6.28,3.17,42.24,1.95,3.06,5.17,9.05,8.36
22,Male,2,5.4,12.94,9.42,2.38,5.74,6.02,12.27,7.9,30.3,0.11,1.7,8.01,9.88,5.26
23,Female,2,2.92,69.73,2.19,1.0,1.55,4.32,6.67,5.04,63.32,0.87,2.86,3.69,8.26,7.41
